,put_price,std,ste,black_scholes_put
Num Sims,,,,
100,6.857201408031188,9.027088479512177,0.9027088479512176,7.302107261067341
200,7.546025313919877,8.180941415287144,0.578479915123941,7.302107261067341
300,8.057056762398451,8.692772502440016,0.501877454428792,7.302107261067341
400,7.682444226017551,8.5005639446836,0.42502819723418,7.302107261067341
500,6.8307949355262965,7.949581702028492,0.3555161015684837,7.302107261067341
600,7.575768785807713,8.610616112097995,0.3515269307604601,7.302107261067341
700,7.7254076145899555,8.753255433486629,0.3308419577032929,7.302107261067341
800,7.235144314346116,8.479598395258254,0.2997990763512839,7.302107261067341
900,7.325166919613529,8.256809643077046,0.27522698810256824,7.302107261067341
1000,7.532233035221885,8.421394041410823,0.26630786244628546,7.302107261067341
1100,7.284167994735635,8.227287281460356,0.24806204504606452,7.302107261067341
1200,7.260489742303178,8.505092126126932,0.24552086142509752,7.302107261067341
1300,7.386113365566235,8.479409678145695,0.2351765106170762,7.302107261067341
1400,7.218477090152446,8.266522792085937,0.22093211477102492,7.302107261067341
1500,7.081259805443537,8.34627895370664,0.21549999593671523,7.302107261067341
1600,6.821604534884623,8.026277544251048,0.2006569386062762,7.302107261067341
1700,7.29896286466886,8.291002737342092,0.20108635310792117,7.302107261067341
1800,7.103158896057264,8.044832463891794,0.18961851962425227,7.302107261067341
1900,6.979033099265326,7.957117506332451,0.18254879522095535,7.302107261067341
2000,7.232846727907622,8.43915372765457,0.18870521407606367,7.302107261067341
2100,7.335583672019123,8.316405253925623,0.1814788408859172,7.302107261067341
2200,7.358344754111978,8.306588426650233,0.17709706030330524,7.302107261067341
2300,7.253344435324427,8.135479474305562,0.1696364735658183,7.302107261067341
2400,7.658129840466871,8.40234266485188,0.17151210144086795,7.302107261067341
2500,7.02908313609205,8.29106896346114,0.1658213792692228,7.302107261067341
2600,7.391919648166233,8.357725476642477,0.16390848190250595,7.302107261067341
2700,7.295823916716019,8.337937443442701,0.16046368091526345,7.302107261067341
2800,7.256663229457905,8.19614585106363,0.15489259736520145,7.302107261067341
2900,7.265008050357614,8.260049541520031,0.15338526929717644,7.302107261067341
3000,7.262445943528299,8.3634586922227,0.15269516614976764,7.302107261067341
3100,7.562244258467421,8.527382559800188,0.15315631201507657,7.302107261067341
3200,7.189943222036253,8.317599978696089,0.14703578370332718,7.302107261067341
3300,7.18836101667146,8.377109479745563,0.1458267581918363,7.302107261067341
