,put_price,put_antithetic,std,std_antithetic,black_scholes_put
Num Sims,,,,,
4500,7.274284622527838,7.307408537606329,8.201071497145845,8.34517117827229,7.302107261067341
4600,7.119450322309332,7.35612240098457,8.32439286869284,8.148761224054422,7.302107261067341
4700,7.351464799514954,7.4492942079374975,8.239318729702486,8.413863783639636,7.302107261067341
4800,7.250900967641162,7.30951678320308,8.285370731912314,8.349269348355723,7.302107261067341
4900,7.253426776960732,7.354986328174965,8.247655403415967,8.365588014194895,7.302107261067341
5000,7.4117255581961405,7.354730139446254,8.447578122779664,8.249052855430953,7.302107261067341
5100,7.252899820987611,7.46058521610541,8.204030204379285,8.403046524548493,7.302107261067341
5200,7.403626953978426,7.1921077772320325,8.433079283067295,8.170319592307226,7.302107261067341
5300,7.47042058536335,7.415350728587461,8.283671140080228,8.290076983007086,7.302107261067341
5400,7.227491091818401,7.382612694695813,8.23160478134465,8.306593357524306,7.302107261067341
5500,7.353584563950491,7.355394382005762,8.287518217718228,8.324813777942806,7.302107261067341
5600,7.506378529061892,7.340499594099479,8.372145889284278,8.430198147144358,7.302107261067341
5700,7.275022113252903,7.3866269632702455,8.317073477046863,8.306329308125429,7.302107261067341
5800,7.167909790283324,7.224880017455451,8.267466681851927,8.262515842644035,7.302107261067341
5900,7.334690057821217,7.192871179267517,8.434829596961261,8.112732255453617,7.302107261067341
6000,7.299798224218757,7.385732510282079,8.239557474019712,8.285870464186573,7.302107261067341
6100,7.354846319290743,7.372214749500085,8.250435942612873,8.249449848086376,7.302107261067341
6200,7.2775350129346,7.2957288721824085,8.269737718591362,8.289565406807503,7.302107261067341
6300,7.228565258491065,7.224319645167777,8.269674804938154,8.270602971899482,7.302107261067341
6400,7.340165175437724,7.268720771157292,8.326728490801674,8.315433580128765,7.302107261067341
6500,7.325066087690291,7.042295049428546,8.396110627267081,8.063364667994405,7.302107261067341
6600,7.346678704195688,7.320303894019235,8.280184262035172,8.325933164673199,7.302107261067341
6700,7.394249342440585,7.328691053421402,8.401960567118314,8.296614523191643,7.302107261067341
6800,7.253036866108073,7.331717330481578,8.25487574178422,8.21658450800444,7.302107261067341
6900,7.430218905489332,7.341265366565248,8.353407342211186,8.22737406765699,7.302107261067341
7000,7.156164665928699,7.384043717765457,8.125337945236465,8.293839552862398,7.302107261067341
7100,7.349295740132082,7.516529016424764,8.31645692421764,8.337094024918741,7.302107261067341
7200,7.412374879497033,7.250031137515569,8.216314816691968,8.270362688797137,7.302107261067341
7300,7.229349482702741,7.289009286891373,8.234280963392031,8.183040348272566,7.302107261067341
7400,7.178316911633408,7.3758192024917655,8.147529453656723,8.305821056762762,7.302107261067341
7500,7.389695655104946,7.28273736506438,8.247856969892043,8.302900339410598,7.302107261067341
7600,7.25469653137942,7.246428516136088,8.281848848110315,8.282685161293339,7.302107261067341
7700,7.215122100283277,7.336080996850419,8.208955172133425,8.41529545567814,7.302107261067341
7800,7.371414843591032,7.205086435826824,8.408156557977025,8.262995419508844,7.302107261067341
7900,7.164382466595072,7.374940708027917,8.254458545057428,8.268930061072275,7.302107261067341
8000,7.427246537050875,7.241003893243667,8.343983861509814,8.30366391392121,7.302107261067341
8100,7.409611669462876,7.275517611451868,8.341590378110196,8.236685201179307,7.302107261067341
8200,7.175731861570421,7.291133852199039,8.200712414213669,8.230698422327825,7.302107261067341
8300,7.32866368132692,7.229077522965566,8.384572163711194,8.167373410222481,7.302107261067341
8400,7.2757720238493055,7.411893776304327,8.257908885209092,8.330863208072895,7.302107261067341
8500,7.316202946801207,7.305878294335378,8.344900427589343,8.27306274119183,7.302107261067341
8600,7.17239115026097,7.209768412867689,8.212345123852165,8.189784068678877,7.302107261067341
8700,7.319723107377598,7.420949839604236,8.31542420526753,8.36859206157807,7.302107261067341
8800,7.24209508344465,7.411563351077634,8.30797677183619,8.301118459619424,7.302107261067341
8900,7.3966255031806085,7.406832491697475,8.292666481716834,8.2812596038393,7.302107261067341
9000,7.400866326833955,7.4296291636087695,8.41937712762664,8.314878852596642,7.302107261067341
9100,7.2402996538692985,7.307603508513507,8.275126084968571,8.304719911233462,7.302107261067341
9200,7.3595311471781875,7.211521897654525,8.3427921698267,8.23206391895146,7.302107261067341
9300,7.162325334013406,7.384124038804601,8.153415119353037,8.292435812436503,7.302107261067341
9400,7.12840577207749,7.382105164215208,8.13208477796706,8.375688387493945,7.302107261067341
9500,7.334117155403279,7.349826601450506,8.237729659501936,8.29437414054096,7.302107261067341
9600,7.2300546098145535,7.324121898656406,8.225596331782054,8.346674021966443,7.302107261067341
9700,7.4231728035670965,7.3503912680422365,8.371225442619643,8.293999625572296,7.302107261067341
9800,7.3239504432584095,7.318537875518667,8.369958336998904,8.30753164217561,7.302107261067341
9900,7.321476668121819,7.244790420477602,8.318407128790533,8.29810972246135,7.302107261067341
