,call_price,call_antithetic,std,std_antithetic,black_scholes_call
Num Sims,,,,,
100,4.317129382936728,2.998947612439615,8.212229608979408,5.688993283003433,3.3468747174046953
200,3.4132516244130215,2.42554469388451,6.830984206425816,5.697916284846483,3.3468747174046953
300,3.478445858744594,3.851461999161104,6.884972639225147,6.930245568218887,3.3468747174046953
400,3.4853554461841143,2.716127637996318,6.84908995956472,6.016404973455492,3.3468747174046953
500,3.248262456711285,3.3811788428721035,6.505240694828392,6.711126390313439,3.3468747174046953
600,3.4781411207035466,3.229171711329079,6.639079600719436,5.940000159463105,3.3468747174046953
700,3.0479727255423734,3.235592115514634,6.2859971285436815,6.836801051810761,3.3468747174046953
800,3.0686094895228564,3.4230467903422683,6.43508322182753,6.517379654807359,3.3468747174046953
900,3.113708802444346,3.2871084046413745,6.393430846179315,6.58679003987728,3.3468747174046953
1000,3.8249462443645603,3.804373933336513,7.626790334682346,7.166090924576456,3.3468747174046953
1100,3.2763232269492404,3.5557852803086343,6.657348126695668,6.936663090294097,3.3468747174046953
1200,3.173861701793082,3.2373609807467396,6.399517900513126,6.511044422799459,3.3468747174046953
1300,3.3421853000675665,3.4058800222943533,6.7921544381669,6.69741501559107,3.3468747174046953
1400,3.010392099978844,3.2346475150045513,5.928299495181759,6.2708828441949285,3.3468747174046953
1500,3.675010956931427,3.4638142794207254,7.282716068804719,6.731503231533568,3.3468747174046953
1600,3.2687694404303262,3.4361488525216113,6.795921595307119,6.815913332553783,3.3468747174046953
1700,3.2582021409259583,3.355615332009657,6.385052886517236,6.582472940395405,3.3468747174046953
1800,3.2361822809046608,3.5430610623643783,6.389785950595355,6.823470646439309,3.3468747174046953
1900,3.3338712932998993,3.198257991359376,6.507978997889886,6.432517994122764,3.3468747174046953
2000,3.130493825655499,3.3404944763651594,6.221896642673469,6.496604579547425,3.3468747174046953
2100,3.2691132618646783,3.5556070648486067,6.839185127683148,7.14084264916067,3.3468747174046953
2200,3.37153825346398,3.291004046693058,6.604122847899045,6.634601552193694,3.3468747174046953
